success,chi2,ndf,chi2_ndf,norm,temperature_gev,beta_s,n_val,mean_beta,norm_err,temperature_err_gev,beta_s_err,n_val_err,valid,bin,n_points,mass_gev,cov_mode,estimator,status
True,813.6758751952318,43,18.922694771982137,1505.9931795991702,0.12601894050565254,0.9352206849513329,3.9999999988286845,0.31174022837796866,141.54762188311702,0.0029987697842101396,0.0034577233414735953,0.009694335912606267,True,21-30,47,0.13957,diag,SPD_tracklets,substitute-baseline
True,1240.1603771127766,43,28.84093900262271,2766.095722145596,0.1478639681533611,0.9424608115348768,3.9999999982645886,0.31415360393582326,122.55478081857063,0.0017535133517922602,0.0016569832076504531,0.009546843068488409,True,31-40,47,0.13957,diag,SPD_tracklets,substitute-baseline
True,1094.8624538848314,43,25.461917532205383,3301.9647492095255,0.16063718868643698,0.9455298277219752,3.9999999999909175,0.3151766092411355,141.8933380874264,0.001892909302412149,0.0015976893133051728,0.025049051787052523,True,41-50,47,0.13957,diag,SPD_tracklets,substitute-baseline
True,1034.8965465706765,43,24.06736154815527,3726.5573171162155,0.16939073594596216,0.9474005604889516,3.999999767783794,0.31580019905197115,159.89572114546854,0.0020249204575687463,0.0015936083033528115,0.2323847082076056,True,51-60,47,0.13957,diag,SPD_tracklets,substitute-baseline
True,1279.451455142416,43,29.754685003312,6116.809829078423,0.15444788383287716,0.95541132376062,2.986898581021266,0.3831685398201788,541.7228669989181,0.004389560935972925,0.0018633272337702511,0.16103185066309278,True,61-70,47,0.13957,diag,SPD_tracklets,substitute-baseline
True,1134.6651004586274,43,26.387560475782035,8641.173782478212,0.14565918075109668,0.9611406107750259,2.511736742958965,0.42606236380036405,987.3453647608421,0.0053716799564084705,0.002218121959411512,0.15598741546564843,True,71-80,47,0.13957,diag,SPD_tracklets,substitute-baseline
True,932.2790731308427,43,21.680908677461456,14706.250397653286,0.1281485723985496,0.969441725623538,1.9474380601611962,0.49117514238282955,2803.933721289084,0.007826317711454638,0.003145285077930493,0.16546235403368936,True,81-90,47,0.13957,diag,SPD_tracklets,substitute-baseline
True,716.750710407107,43,16.6686211722583,28831.798817247916,0.1073662254304414,0.9787652243328842,1.4895470157562793,0.5609697877194294,1519.423320851689,0.001751050963073486,0.0006986812410745835,0.03771990714046658,True,91-100,47,0.13957,diag,SPD_tracklets,substitute-baseline
False,556.5956266706062,43,12.944084341176888,44885.64593622752,0.09726783386851728,0.9831311008633843,1.2748483763397078,0.6004132026180877,25593.972572955827,0.016831579827285663,0.005402512263676829,0.23196654429399355,False,101-125,47,0.13957,diag,SPD_tracklets,substitute-baseline
False,229.71370766712295,43,5.342179248072626,56638.2994290825,0.09515476404492694,0.9852179012821006,1.1590915213763118,0.6237349533025708,8789.645835829608,0.004480259969157213,0.0013423259368730012,0.06113069878033117,False,126-150,47,0.13957,diag,SPD_tracklets,substitute-baseline
