bin,chi2/ndf_1c,chi2/ndf_2c,F,p-value,decision
21-30,0.59,0.36,10.370370370370368,3.306667746757484e-05,2c STATISTICALLY WARRANTED
31-40,6.57,1.03,79.88673139158577,3.613576534989288e-17,2c STATISTICALLY WARRANTED
41-50,9.11,1.34,86.04477611940298,9.829824838669243e-18,2c STATISTICALLY WARRANTED
51-60,10.6,1.43,95.05128205128204,1.6800832938110225e-18,2c STATISTICALLY WARRANTED
61-70,18.4,19.8,0.0,1.0,OVERFITTING
71-80,19.2,2.05,123.69918699186994,1.4095271804624947e-20,2c STATISTICALLY WARRANTED
81-90,19.4,20.8,0.0,1.0,OVERFITTING
91-100,19.6,,0.0,1.0,OVERFITTING
101-125,19.2,1.37,191.88077858880777,3.7009439743364944e-24,2c STATISTICALLY WARRANTED
126-150,12.3,0.45,387.2222222222223,4.246827875998213e-30,2c STATISTICALLY WARRANTED
