complexity,loss,equation,score,sympy_format,lambda_format
1,0.008616666,0.004034422,0.0,0.00403442200000000,PySRFunction(X=>0.00403442200000000)
3,0.008451043,0.20103052 / x0,0.00970418460611894,0.20103052/x0,PySRFunction(X=>0.20103052/x0)
4,0.0010693041,49.90904 / exp(x0),2.0672818026474147,49.90904/exp(x0),PySRFunction(X=>49.90904/exp(x0))
6,9.978227e-05,exp((3.098538 - x0) * 1.4375402),1.185886414907574,exp((3.098538 - x0)*1.4375402),PySRFunction(X=>exp((3.098538 - x0)*1.4375402))
7,5.5978606e-05,140.13605 / exp(sqrt(x0) + x0),0.5780209301975947,140.13605*exp(-sqrt(x0) - x0),PySRFunction(X=>140.13605*exp(-sqrt(x0) - x0))
8,4.089873e-05,108.07585 / (exp(x0) * (x0 + 1.0648593)),0.3138705708047188,108.07585/(((x0 + 1.0648593)*exp(x0))),PySRFunction(X=>108.07585/(((x0 + 1.0648593)*exp(x0))))
10,3.2167092e-05,(107.15709 / ((x0 + 1.0515225) * exp(x0))) - -0.0029686044,0.12007753441728614,-1*(-0.0029686044) + 107.15709/(((x0 + 1.0515225)*exp(x0))),PySRFunction(X=>-1*(-0.0029686044) + 107.15709/(((x0 + 1.0515225)*exp(x0))))
11,3.0681986e-05,108.99712 / exp((x0 / sqrt(sqrt(exp(x0)))) + x0),0.04726823525845239,108.99712*exp(-x0 - x0/exp(x0)**(1/4)),PySRFunction(X=>108.99712*exp(-x0 - x0/exp(x0)**(1/4)))
12,2.5954725e-05,(105.65578 / ((x0 + 1.0348042) * exp(x0))) + (0.058647756 / x0),0.16732203316685168,105.65578/(((x0 + 1.0348042)*exp(x0))) + 0.058647756/x0,PySRFunction(X=>105.65578/(((x0 + 1.0348042)*exp(x0))) + 0.058647756/x0)
13,2.1629903e-05,103.38555 / exp((x0 / sqrt(sqrt(exp(x0 - -0.38274303)))) + x0),0.18227691851937305,103.38555*exp(-x0 - 0.908749538931635*x0/exp(x0)**(1/4)),PySRFunction(X=>103.38555*exp(-x0 - 0.908749538931635*x0/exp(x0)**(1/4)))
14,1.1318755e-05,((105.67143 / ((x0 + 1.0560261) * exp(x0))) + (0.28885102 / x0)) + -0.015836697,0.6476156710482792,-0.015836697 + 105.67143/(((x0 + 1.0560261)*exp(x0))) + 0.28885102/x0,PySRFunction(X=>-0.015836697 + 105.67143/(((x0 + 1.0560261)*exp(x0))) + 0.28885102/x0)
15,1.0177983e-05,(105.65537 / (exp(x0) * (x0 + 1.0520796))) - (-0.25472713 / exp(x0 * 0.30730703)),0.10623422649834327,-(-1)*0.25472713/exp(x0*0.30730703) + 105.65537/(((x0 + 1.0520796)*exp(x0))),PySRFunction(X=>-(-1)*0.25472713/exp(x0*0.30730703) + 105.65537/(((x0 + 1.0520796)*exp(x0))))
16,1.0018486e-05,(105.655525 / ((x0 + 1.036266) * exp(x0))) - (-0.23262127 / sqrt(exp(0.5704358 * x0))),0.015794871460133614,0.23262127/sqrt(exp(0.5704358*x0)) + 105.655525*exp(-x0)/(x0 + 1.036266),PySRFunction(X=>0.23262127/sqrt(exp(0.5704358*x0)) + 105.655525*exp(-x0)/(x0 + 1.036266))
17,9.081207e-06,(exp(2.885737 - (x0 / 1.4131625)) + 0.051647473) / ((x0 * (sqrt(x0) / 3.7735758)) + 0.20301281),0.09822487314162916,(0.051647473 + 17.9167673883642*exp(-0.70763270324538*x0))/(0.265000639446543*x0**(3/2) + 0.20301281),PySRFunction(X=>(0.051647473 + 17.9167673883642*exp(-0.70763270324538*x0))/(0.265000639446543*x0**(3/2) + 0.20301281))
19,9.081206e-06,(exp(2.885737 - (x0 / 1.4131625)) + 0.051647473) / (0.20301281 + (sqrt((x0 * x0) * x0) / 3.7735758)),5.505876336020844e-08,(0.051647473 + 17.9167673883642*exp(-0.70763270324538*x0))/(0.265000639446543*sqrt(x0**3) + 0.20301281),PySRFunction(X=>(0.051647473 + 17.9167673883642*exp(-0.70763270324538*x0))/(0.265000639446543*sqrt(x0**3) + 0.20301281))
20,8.474213e-06,95.80814 / exp((x0 * 0.6289467) + (x0 * (1.7984843 / sqrt(exp(sqrt(sqrt(sqrt(exp(x0 + 0.78728473))))))))),0.06917921557904946,95.80814*exp(-0.6289467*x0 - 1.7984843*x0/sqrt(exp(1.10341574496146*exp(x0)**(1/8)))),PySRFunction(X=>95.80814*exp(-0.6289467*x0 - 1.7984843*x0/sqrt(exp(1.10341574496146*exp(x0)**(1/8)))))
