group_label,model_name,success,chi2_ndf,aic,bic
101-125,juttner_1c,True,178.09493346562334,7842.177072487427,7847.727515292557
101-125,bose_1c,True,153.28592801901803,6750.580832836793,6756.131275641923
101-125,tsallis_1c,True,19.243597076032994,852.7182713454517,858.2687141505819
101-125,bgbw,True,12.944034765484773,564.5934949158452,571.9940853226855
101-125,bose_2c,True,37.356834800243874,1543.6302268099987,1554.731112420259
101-125,tsallis_2c,True,1.3717071064301718,68.23999136363705,79.3408769738974
126-150,juttner_1c,True,110.11935750599328,4851.251730263704,4856.802173068834
126-150,bose_1c,True,92.55132521244413,4078.258309347542,4083.8087521526722
126-150,tsallis_1c,True,12.307039868401368,547.5097542096602,553.0601970147903
126-150,bgbw,True,5.327485554468728,237.0818788421553,244.48246924899553
126-150,juttner_2c,True,19.989385592703016,831.5648093008236,842.665694911084
126-150,bose_2c,True,17.78090199539561,741.0169818112199,752.1178674214802
126-150,tsallis_2c,True,0.8745195785785922,47.85530272172228,58.95618833198263
21-30,juttner_1c,True,68.28254358750821,3010.4319178503615,3015.982360655492
21-30,bose_1c,True,65.03183146809224,2867.4005845960583,2872.9510274011886
21-30,tsallis_1c,True,0.5894500279992271,31.93580123196599,37.486244037096164
21-30,bgbw,True,18.922697275796423,821.6759828592462,829.0765732660865
21-30,bose_2c,True,17.55944412237841,731.9372090175148,743.0380946277751
21-30,tsallis_2c,True,0.3615704110007671,26.82438685103145,37.9252724612918
31-40,juttner_1c,True,165.24971797001558,7276.987590680686,7282.5380334858155
31-40,bose_1c,True,152.5926044681141,6720.07459659702,6725.62503940215
31-40,tsallis_1c,True,6.5671275445625525,294.9536119607523,300.5040547658825
31-40,bgbw,True,28.840939067352284,1248.1603798961482,1255.5609703029884
31-40,tsallis_2c,True,1.0254744026655054,54.044450509285724,65.14533611954607
41-50,juttner_1c,True,162.73320090625293,7166.260839875129,7171.811282680259
41-50,bose_1c,True,147.9772064061813,6516.997081871977,6522.547524677107
41-50,tsallis_1c,True,9.110314932849652,406.8538570453847,412.40429985051486
41-50,bgbw,True,25.461919232276212,1102.8625269878771,1110.2631173947173
41-50,tsallis_2c,True,1.3377034519840338,66.84584153134539,77.94672714160573
51-60,juttner_1c,True,159.92317738639605,7042.619805001426,7048.170247806556
51-60,bose_1c,True,144.0030962927493,6342.136236880969,6347.686679686099
51-60,tsallis_1c,True,10.627256356845567,473.599279701205,479.14972250633514
51-60,bgbw,True,24.067361708202885,1042.896553452724,1050.2971438595641
51-60,juttner_2c,True,49.00423652109135,2021.1736973647453,2032.2745829750056
51-60,tsallis_2c,True,1.428737737249766,70.57824722724041,81.67913283750076
61-70,juttner_1c,True,227.21861071246948,10003.618871348657,10009.169314153787
61-70,bose_1c,True,202.8235658280699,8930.236896435075,8935.787339240205
61-70,tsallis_1c,True,18.417977084535714,816.3909917195714,821.9414345247015
61-70,bgbw,True,29.754685588422216,1287.4514803021552,1294.8520707089954
61-70,juttner_2c,True,66.88070870990506,2754.1090571061077,2765.209942716368
61-70,tsallis_2c,True,2.1871196710777654,101.67190651418838,112.77279212444873
71-80,juttner_1c,True,220.44069368846596,9705.390522292502,9710.940965097632
71-80,bose_1c,True,195.2492781176119,8596.968237174924,8602.518679980054
71-80,tsallis_1c,True,19.186295173180746,850.1969876199528,855.7474304250829
71-80,bgbw,True,26.387561059979934,1142.665125579137,1150.0657159859772
71-80,juttner_2c,True,62.74109534511885,2584.384909149873,2595.485794760133
71-80,bose_2c,True,56.10819946860177,2312.4361782126725,2323.537063822933
71-80,tsallis_2c,True,2.0480900574835306,95.97169235682476,107.07257796708511
81-90,juttner_1c,True,207.20328597407217,9122.944582859176,9128.495025664306
81-90,bose_1c,True,181.72143039393302,8001.742937333052,8007.293380138182
81-90,tsallis_1c,True,19.35293392354306,857.5290926358946,863.0795354410247
81-90,bgbw,True,21.680909707943965,940.2791174415904,947.6797078484307
81-90,juttner_2c,True,56.02923081731556,2309.198463509938,2320.2993491201983
81-90,bose_2c,True,50.08641992457971,2065.543216907768,2076.6441025180284
81-90,tsallis_2c,True,1.799262042964192,85.76974376153187,96.87062937179222
91-100,juttner_1c,True,192.84836514622305,8491.328066433814,8496.878509238944
91-100,bose_1c,True,167.4317063808314,7372.995080756582,7378.545523561712
91-100,tsallis_1c,True,19.614444907749846,869.0355759409932,874.5860187461234
91-100,bgbw,True,16.66862253002807,724.7507687912071,732.1513591980473
91-100,juttner_2c,True,48.28713811655526,1991.7726627787658,2002.8735483890262
91-100,bose_2c,True,43.289747579943814,1786.8796507776965,1797.9805363879568
91-100,tsallis_2c,True,1.610743103210815,78.04046723164342,89.14135284190377
